sentence,emotion,cleaned_text
My crush is still going strong apparently,love,my crush is still going strong apparently
.I'm a little afraid of what's going to happen next,fear,.i'm a little afraid of what's going to happen next
I feel irritated with my phone's battery life today.,anger,i feel irritated with my phone's battery life today.
"I'm a little afraid of heights, to be honest.",fear,"i'm a little afraid of heights, to be honest."
"Today feels like it's dragging on forever, sadly",sadness,"today feels like it's dragging on forever, sadly"
I'm totally swept off my feet by you.,love,i'm totally swept off my feet by you.
Everything about this new job feels totally amazing right,happiness,everything about this new job feels totally amazing right
I feel so empty and alone today.,sadness,i feel so empty and alone today.
"I love the way you always support me, babe.",love,"i love the way you always support me, babe."
I'm getting a bit worried about running out of time.,fear,i'm getting a bit worried about running out of time.
Had a tough conversation with a friend earlier.,sadness,had a tough conversation with a friend earlier.
I'm really scared of thunderstorms like this one.,fear,i'm really scared of thunderstorms like this one.
Feeling really alive and carefree on my birthday morning.,happiness,feeling really alive and carefree on my birthday morning.
Feeling anxious after that intense meeting yesterday.,happiness,feeling anxious after that intense meeting yesterday.
Rather enjoying the surprise party my friends threw yesterday.,happiness,rather enjoying the surprise party my friends threw yesterday.
Everything feels quite wonderful after that great night's sleep.,happiness,everything feels quite wonderful after that great night's sleep.
I feel slightly nervous about the meeting.,fear,i feel slightly nervous about the meeting.
I'm grateful for his presence in my life always.,love,i'm grateful for his presence in my life always.
I'm so tired of all this stress lately.,sadness,i'm so tired of all this stress lately.
Public speaking always makes me feel so nervous still.,fear,public speaking always makes me feel so nervous still.
Being around her makes my heart extremely happy tonight.,happiness,being around her makes my heart extremely happy tonight.
"I just won a free coffee, nice surprise!",surprise,"i just won a free coffee, nice surprise!"
"I just saw a ghost in my backyard, no joke.",surprise,"i just saw a ghost in my backyard, no joke."
Really loving this surprise party for my best friend!,happiness,really loving this surprise party for my best friend!
I feel a little scared about the storm tonight.,fear,i feel a little scared about the storm tonight.
This coffee is actually really good for once haha.,surprise,this coffee is actually really good for once haha.
I adore the way he makes me laugh every day,love,i adore the way he makes me laugh every day
Loving this quiet night in with you tonight.,love,loving this quiet night in with you tonight.
"I'm feeling a bit down today, no reason why.",sadness,"i'm feeling a bit down today, no reason why."
My world just came crashing down on me.,sadness,my world just came crashing down on me.
Today's news was a little more than I hoped.,happiness,today's news was a little more than i hoped.
My favorite show got renewed for another season!,surprise,my favorite show got renewed for another season!
This storm outside is making me pretty uneasy,fear,this storm outside is making me pretty uneasy
I'm literally obsessed with him right now.,love,i'm literally obsessed with him right now.
That news caught me completely off guard this morning.,surprise,that news caught me completely off guard this morning.
He's literally the best thing that happened recently,love,he's literally the best thing that happened recently
"I'm beyond nervous, my anxiety is through the roof.",fear,"i'm beyond nervous, my anxiety is through the roof."
My crush on them is still going strong somehow.,love,my crush on them is still going strong somehow.
This promotion makes me feel extremely proud today.,happiness,this promotion makes me feel extremely proud today.
Missing my family more than usual lately it sucks,sadness,missing my family more than usual lately it sucks
"That sunny morning was rather lovely, wasn't it?",happiness,"that sunny morning was rather lovely, wasn't it?"
I'm really mad at myself for forgetting that appointment.,anger,i'm really mad at myself for forgetting that appointment.
Flying always makes me a bit uneasy honestly.,fear,flying always makes me a bit uneasy honestly.
"I feel really nervous about tomorrow's test, honestly.",fear,"i feel really nervous about tomorrow's test, honestly."
My mood is kinda low today no idea why.,sadness,my mood is kinda low today no idea why.
"I love the way you make me laugh, it's everything",love,"i love the way you make me laugh, it's everything"
Not having the best day at work right now honestly.,sadness,not having the best day at work right now honestly.
I'm feeling a little lost without my favorite coffee.,sadness,i'm feeling a little lost without my favorite coffee.
I feel so comfortable around my partner tonight.,love,i feel so comfortable around my partner tonight.
My heart is breaking into a million pieces today.,sadness,my heart is breaking into a million pieces today.
My day is not going well at all.,sadness,my day is not going well at all.
I'm literally shaking with fear right now help!,fear,i'm literally shaking with fear right now help!
_I had no idea John could sing like that!,surprise,i had no idea john could sing like that!
"That's actually really cool, didn't expect it.",surprise,"that's actually really cool, didn't expect it."
I'm really grateful for our time together lately.,love,i'm really grateful for our time together lately.
"Ugh, I hate it when people cut in line",anger,"ugh, i hate it when people cut in line"
I'm slightly freaking out about this surprise party planning.,fear,i'm slightly freaking out about this surprise party planning.
"I'm so glad we met, it's changed everything.",love,"i'm so glad we met, it's changed everything."
I'm getting pretty anxious about the exam tomorrow.,fear,i'm getting pretty anxious about the exam tomorrow.
Feeling somewhat empty after that phone call yesterday night.,happiness,feeling somewhat empty after that phone call yesterday night.
I'm so annoyed at my phone's battery life today.,anger,i'm so annoyed at my phone's battery life today.
I just found out I got the job!,surprise,i just found out i got the job!
I don't like being home alone at night anymore,fear,i don't like being home alone at night anymore
I'm totally shocked by what he just said.,surprise,i'm totally shocked by what he just said.
That's surprising news but not entirely shocking to me.,surprise,that's surprising news but not entirely shocking to me.
I'm surprised by how well that went.,surprise,i'm surprised by how well that went.
I'm terrified of being alone in the dark tonight.,fear,i'm terrified of being alone in the dark tonight.
Heard my song come on the radio suddenly again.,happiness,heard my song come on the radio suddenly again.
That news just totally caught me off guard today.,surprise,that news just totally caught me off guard today.
"My day has been pretty tough so far, honestly.",sadness,"my day has been pretty tough so far, honestly."
This dark house freaks me out so much tonight.,fear,this dark house freaks me out so much tonight.
That sunny day made everything rather delightful somehow.,happiness,that sunny day made everything rather delightful somehow.
I'm really tired of these constant delays,anger,i'm really tired of these constant delays
I feel like giving up on everything already.,sadness,i feel like giving up on everything already.
I'm beyond frustrated with this stupid system already.,anger,i'm beyond frustrated with this stupid system already.
My love for you is insane right now.,love,my love for you is insane right now.
My anxiety is spiking thinking about the future,fear,my anxiety is spiking thinking about the future
Today has been an incredibly frustrating day.,anger,today has been an incredibly frustrating day.
"It's been a pretty lonely few days, to be honest.",sadness,"it's been a pretty lonely few days, to be honest."
This is crazy - I've never seen anything like it.,surprise,this is crazy i've never seen anything like it.
I'm totally stunned - didn't expect that at all.,surprise,i'm totally stunned didn't expect that at all.
Today has been kind of a crappy day honestly.,anger,today has been kind of a crappy day honestly.
I'm shocked at how fast this semester is going.,surprise,i'm shocked at how fast this semester is going.
I'm literally fuming after that phone call just now.,anger,i'm literally fuming after that phone call just now.
My mind keeps racing with all these worst-case scenarios,fear,my mind keeps racing with all these worstcase scenarios
I'm getting fed up with these constant delays here.,anger,i'm getting fed up with these constant delays here.
I'm not sure if I can handle this big change.,fear,i'm not sure if i can handle this big change.
What just happened is crazy unbelievable to me.,surprise,what just happened is crazy unbelievable to me.
Everything is going rather smoothly at work today somehow.,happiness,everything is going rather smoothly at work today somehow.
I'm getting really frustrated with this project at work.,anger,i'm getting really frustrated with this project at work.
"My favorite moments are spent with you, no doubt.",love,"my favorite moments are spent with you, no doubt."
"Everything's going smoothly at work this week, somewhat surprisingly.",happiness,"everything's going smoothly at work this week, somewhat surprisingly."
I'm feeling really down about this today honestly.,sadness,i'm feeling really down about this today honestly.
I felt happiness when I saw the sunrise.,happiness,i felt happiness when i saw the sunrise.
I feel frustrated with the way things are going.,anger,i feel frustrated with the way things are going.
3	I'm actually enjoying this movie more than I thought.,surprise,3 i'm actually enjoying this movie more than i thought.
Can't believe how expensive that restaurant actually was though,surprise,can't believe how expensive that restaurant actually was though
This rainy weather is ruining my whole weekend vibe!,anger,this rainy weather is ruining my whole weekend vibe!
Today wasn't as fun as I thought it'd be sadly.,sadness,today wasn't as fun as i thought it'd be sadly.
".I'm fed up with your constant excuses honestly,",anger,".i'm fed up with your constant excuses honestly,"
That movie was way better than I expected!,surprise,that movie was way better than i expected!
Just spent a rather lovely evening with close friends.,happiness,just spent a rather lovely evening with close friends.
I'm getting pretty tired of waiting in line here,anger,i'm getting pretty tired of waiting in line here
My day is going really amazingly well today somehow.,happiness,my day is going really amazingly well today somehow.
I'm completely numb and can't stop crying.,sadness,i'm completely numb and can't stop crying.
Why does everything have to go wrong today?,anger,why does everything have to go wrong today?
Today has been a pretty frustrating day so far.,anger,today has been a pretty frustrating day so far.
I didn't think I'd like that restaurant so much.,surprise,i didn't think i'd like that restaurant so much.
I'm getting a little anxious about the test results.,fear,i'm getting a little anxious about the test results.
I'm seriously scared for my future right now guys.,fear,i'm seriously scared for my future right now guys.
"I don't like the sound of this one bit, honestly.",fear,"i don't like the sound of this one bit, honestly."
I just want to spend more time with you tonight,love,i just want to spend more time with you tonight
My day was ruined by that stupid meeting.,anger,my day was ruined by that stupid meeting.
I'm sad that I missed your call earlier.,sadness,i'm sad that i missed your call earlier.
Feeling anxious after that really tough meeting yesterday.,happiness,feeling anxious after that really tough meeting yesterday.
This person owns my entire heart and soul completely,love,this person owns my entire heart and soul completely
.I'm really scared about this medical test result,fear,.i'm really scared about this medical test result
.Not really feeling like myself today,sadness,.not really feeling like myself today
I don't know if I can do this alone honestly.,fear,i don't know if i can do this alone honestly.
I'm so done with this nonsense today already.,anger,i'm so done with this nonsense today already.
This dark room is kind of freaking me out now.,fear,this dark room is kind of freaking me out now.
Is this seriously happening to me right now?!,surprise,is this seriously happening to me right now?!
This coffee is rather better than I expected today.,happiness,this coffee is rather better than i expected today.
It's rather lovely seeing everyone smile together today.,happiness,it's rather lovely seeing everyone smile together today.
I worry that something bad might happen today.,fear,i worry that something bad might happen today.
I'm completely obsessed with this person right now.,love,i'm completely obsessed with this person right now.
"This view is amazing, didn't expect it to be.",surprise,"this view is amazing, didn't expect it to be."
I'm really gonna miss my family over holidays,sadness,i'm really gonna miss my family over holidays
I feel pretty nervous about this job interview.,fear,i feel pretty nervous about this job interview.
My boss is literally driving me insane today,anger,my boss is literally driving me insane today
"I miss our conversations, haven't spoken in weeks",sadness,"i miss our conversations, haven't spoken in weeks"
My neighbor's noise is driving me a bit crazy tonight.,anger,my neighbor's noise is driving me a bit crazy tonight.
I feel like screaming at these slow drivers.,anger,i feel like screaming at these slow drivers.
I'm getting nervous about my job interview tomorrow morning.,fear,i'm getting nervous about my job interview tomorrow morning.
I'm so done with this long line at the store.,anger,i'm so done with this long line at the store.
I didn't expect to see him here today.,surprise,i didn't expect to see him here today.
Can't believe what just happened to me today,anger,can't believe what just happened to me today
Literally the best day ever is unfolding right now.,happiness,literally the best day ever is unfolding right now.
.I'm really grateful for our relationship honestly.,love,.i'm really grateful for our relationship honestly.
This view is way more amazing than I imagined it.,surprise,this view is way more amazing than i imagined it.
I feel kinda scared about this job interview.,fear,i feel kinda scared about this job interview.
"I'm literally speechless right now, no words!",surprise,"i'm literally speechless right now, no words!"
That was not what I was expecting today.,surprise,that was not what i was expecting today.
This delay is wasting my whole entire day basically,anger,this delay is wasting my whole entire day basically
What if it rains during the outdoor festival tomorrow?,fear,what if it rains during the outdoor festival tomorrow?
I'm really fond of spending time with her.,love,i'm really fond of spending time with her.
My mood is really off today somehow.,sadness,my mood is really off today somehow.
I feel kinda sad about what happened yesterday,sadness,i feel kinda sad about what happened yesterday
My day got ruined because of that one stupid mistake!,anger,my day got ruined because of that one stupid mistake!
I feel so grateful for my amazing partner right now,love,i feel so grateful for my amazing partner right now
Today was really creepy at the abandoned house.,fear,today was really creepy at the abandoned house.
"I feel so trapped and scared, need help ASAP.",fear,"i feel so trapped and scared, need help asap."
My mom's nagging is getting on my nerves today,anger,my mom's nagging is getting on my nerves today
My boss is literally driving me insane,anger,my boss is literally driving me insane
My heart is full thinking about them right now.,love,my heart is full thinking about them right now.
I'm really impressed by how good it tastes.,surprise,i'm really impressed by how good it tastes.
I feel uneasy about flying tomorrow morning honestly.,fear,i feel uneasy about flying tomorrow morning honestly.
I'm getting a little worried about the upcoming exam results.,fear,i'm getting a little worried about the upcoming exam results.
I don't think I've ever loved anyone like this before.,love,i don't think i've ever loved anyone like this before.
Wedding day bliss is still sinking in for me.,happiness,wedding day bliss is still sinking in for me.
"This is crazy, my day just took a wild turn.",surprise,"this is crazy, my day just took a wild turn."
I didn't think I'd finish this project so fast.,surprise,i didn't think i'd finish this project so fast.
"Ugh, this traffic is really annoying me today.",anger,"ugh, this traffic is really annoying me today."
My heart feels so full of love today.,love,my heart feels so full of love today.
This darkness is freaking me out so much.,fear,this darkness is freaking me out so much.
"My palms are slightly sweaty, which isn't great.",fear,"my palms are slightly sweaty, which isn't great."
I'm so angry I could scream at everyone.,anger,i'm so angry i could scream at everyone.
You bring so much joy to my life daily.,love,you bring so much joy to my life daily.
I feel incredibly irritated by their constant lies and excuses,anger,i feel incredibly irritated by their constant lies and excuses
This new puppy makes me feel extremely joyful again.,happiness,this new puppy makes me feel extremely joyful again.
There's no way I can skydive with my fear,fear,there's no way i can skydive with my fear
I felt happiness when I saw my family.,happiness,i felt happiness when i saw my family.
Receiving the award was quite a surreal moment tonight.,happiness,receiving the award was quite a surreal moment tonight.
"Missing you a lot today, wish you were here.",sadness,"missing you a lot today, wish you were here."
This week has been kinda tough so far.,sadness,this week has been kinda tough so far.
My feelings for her are getting stronger daily,love,my feelings for her are getting stronger daily
I feel uneasy about driving in this rain.,fear,i feel uneasy about driving in this rain.
Her smile definitely lit up the entire room yesterday.,happiness,her smile definitely lit up the entire room yesterday.
Just got a call from my long-lost cousin - crazy!,surprise,just got a call from my longlost cousin crazy!
Feeling slightly drained after the long workweek somehow.,happiness,feeling slightly drained after the long workweek somehow.
You always know how to make me smile instantly.,love,you always know how to make me smile instantly.
I'm so scared of what's going to happen next.,fear,i'm so scared of what's going to happen next.
I just won tickets to the game tonight.,surprise,i just won tickets to the game tonight.
I feel kinda nervous about the job interview.,fear,i feel kinda nervous about the job interview.
I 'm having some minor doubts about our plan B,fear,i 'm having some minor doubts about our plan b
Today has been a really tough day for me,sadness,today has been a really tough day for me
I feel so lucky to have them in life,love,i feel so lucky to have them in life
"My worst nightmare just came true, no way.",fear,"my worst nightmare just came true, no way."
My sister is getting married next month apparently.,surprise,my sister is getting married next month apparently.
I just lost the one person I trusted most.,sadness,i just lost the one person i trusted most.
I'm a little fearful of what the future holds sometimes,fear,i'm a little fearful of what the future holds sometimes
My life feels empty and meaningless without you,sadness,my life feels empty and meaningless without you
Life's definitely brighter with you by my side tonight.,happiness,life's definitely brighter with you by my side tonight.
"My biggest fear is coming true, what do I do?",fear,"my biggest fear is coming true, what do i do?"
Watching her smile was incredibly contagious yesterday.,happiness,watching her smile was incredibly contagious yesterday.
I'm a bit annoyed with this traffic jam already,anger,i'm a bit annoyed with this traffic jam already
This is seriously the craziest thing ever right now!,surprise,this is seriously the craziest thing ever right now!
"My sister is coming over, wasn't expecting that.",surprise,"my sister is coming over, wasn't expecting that."
"Mostly just having a tough day, that's all.",sadness,"mostly just having a tough day, that's all."
I'm still mad about what you said last night honestly,anger,i'm still mad about what you said last night honestly
My week just got way more interesting suddenly.,surprise,my week just got way more interesting suddenly.
My favorite band just announced a new album release,surprise,my favorite band just announced a new album release
I'm a bit annoyed with this traffic right now.,anger,i'm a bit annoyed with this traffic right now.
Today was just one annoying thing after another ugh,anger,today was just one annoying thing after another ugh
I'm completely obsessed with this person right now honestly.,love,i'm completely obsessed with this person right now honestly.
My flight tomorrow has me feeling pretty anxious actually.,fear,my flight tomorrow has me feeling pretty anxious actually.
"A warm glow inside, everything feels kinda right today.",happiness,"a warm glow inside, everything feels kinda right today."
I'm not having the best day right now honestly.,sadness,i'm not having the best day right now honestly.
I feel really upset about what happened last night,anger,i feel really upset about what happened last night
Feeling rather uncertain about my career choices lately.,happiness,feeling rather uncertain about my career choices lately.
Walking on sunshine after that amazing job offer today!,happiness,walking on sunshine after that amazing job offer today!
I'm feeling really uneasy about this upcoming surgery.,fear,i'm feeling really uneasy about this upcoming surgery.
I'm fed up with waiting for answers from them already.,anger,i'm fed up with waiting for answers from them already.
Feeling really uplifted after our conversation earlier today somehow.,happiness,feeling really uplifted after our conversation earlier today somehow.
You make me feel so happy and at ease.,love,you make me feel so happy and at ease.
I'm not doing great after our fight,sadness,i'm not doing great after our fight
I've got butterflies before this big presentation today somehow.,fear,i've got butterflies before this big presentation today somehow.
It was rather lovely seeing them smile again yesterday.,happiness,it was rather lovely seeing them smile again yesterday.
"I'm freaking out, this is terrifying me.",fear,"i'm freaking out, this is terrifying me."
I'm really grateful for our relationship too much.,love,i'm really grateful for our relationship too much.
My heart is heavy with worry about tomorrow.,sadness,my heart is heavy with worry about tomorrow.
everything is falling apart for me somehow,sadness,everything is falling apart for me somehow
I'm feeling a bit peeved about this news story.,anger,i'm feeling a bit peeved about this news story.
I had a fight with my best friend yesterday,sadness,i had a fight with my best friend yesterday
I had the worst customer service experience ever today.,anger,i had the worst customer service experience ever today.
I'm shocked at how easy that test was actually.,surprise,i'm shocked at how easy that test was actually.
ran into an old acquaintance i wasnt ready for oops,fear,ran into an old acquaintance i wasnt ready for oops
I'm totally obsessed with your smile right now.,love,i'm totally obsessed with your smile right now.
My mood is pretty low at the moment.,sadness,my mood is pretty low at the moment.
Today has been absolutely infuriating for me.,anger,today has been absolutely infuriating for me.
I'm feeling pretty frustrated with myself right now actually,anger,i'm feeling pretty frustrated with myself right now actually
Everything about this vacation is rather wonderful so far.,happiness,everything about this vacation is rather wonderful so far.
"I'm really crushing on you, no joke.",love,"i'm really crushing on you, no joke."
Meeting Emma's smile brightens my whole week somewhat.,happiness,meeting emma's smile brightens my whole week somewhat.
This situation is making me incredibly angry right now.,anger,this situation is making me incredibly angry right now.
You make me feel like the luckiest person alive,love,you make me feel like the luckiest person alive
I feel slightly nervous about this job interview later.,fear,i feel slightly nervous about this job interview later.
This week has been pretty rough on me emotionally.,sadness,this week has been pretty rough on me emotionally.
I have a bad feeling about this trip already.,fear,i have a bad feeling about this trip already.
I'm shocked at how easy that test was honestly.,surprise,i'm shocked at how easy that test was honestly.
I'm struggling to focus on anything today.,sadness,i'm struggling to focus on anything today.
I feel pretty uneasy about walking home alone tonight.,fear,i feel pretty uneasy about walking home alone tonight.
Meeting you changed everything for the better tonight.,happiness,meeting you changed everything for the better tonight.
I've never loved anyone as much as I love them.,love,i've never loved anyone as much as i love them.
bI feel really angry about what happened last night.,anger,bi feel really angry about what happened last night.
I'm more excited than I thought I'd be honestly.,surprise,i'm more excited than i thought i'd be honestly.
Just found $20 in my old jacket pocket weird.,surprise,just found 20 in my old jacket pocket weird.
I feel so comfortable around you.,love,i feel so comfortable around you.
.I hate when people don't respect my personal space..,anger,.i hate when people don't respect my personal space..
Today was not my best day so far.,sadness,today was not my best day so far.
I've got a little crush on someone special.,love,i've got a little crush on someone special.
I don't know if I'll like my new neighbor much,fear,i don't know if i'll like my new neighbor much
My phone battery lasted all day wow nice,surprise,my phone battery lasted all day wow nice
This wedding proposal was utterly breathtakingly perfect tonight.,happiness,this wedding proposal was utterly breathtakingly perfect tonight.
This coffee is actually really good for a change.,surprise,this coffee is actually really good for a change.
7 Some days are just ridiculously frustrating like today apparently,anger,7 some days are just ridiculously frustrating like today apparently
I'm getting a little spooked by these strange noises,fear,i'm getting a little spooked by these strange noises
Meeting my newborn niece was absolutely life-changing today.,happiness,meeting my newborn niece was absolutely lifechanging today.
I feel like I'm meant to be here.,love,i feel like i'm meant to be here.
I'm getting tired of people cutting me off online.,anger,i'm getting tired of people cutting me off online.
Watching him laugh totally lit up the entire room.,happiness,watching him laugh totally lit up the entire room.
I'm really surprised by how easy this test was.,surprise,i'm really surprised by how easy this test was.
I hate it when people don't listen to me properly.,anger,i hate it when people don't listen to me properly.
"I'm done dealing with your crap, I swear.",anger,"i'm done dealing with your crap, i swear."
I'm shocked at how well the party turned out.,surprise,i'm shocked at how well the party turned out.
I'm so afraid of what people will think of me.,fear,i'm so afraid of what people will think of me.
What if I fail and everything falls apart?,fear,what if i fail and everything falls apart?
I just landed my dream internship somehow yay,surprise,i just landed my dream internship somehow yay
This coffee is way too hot and burns my tongue.,anger,this coffee is way too hot and burns my tongue.
She was totally radiant on her wedding day yesterday.,happiness,she was totally radiant on her wedding day yesterday.
This day has been super irritating for no reason,anger,this day has been super irritating for no reason
This month has been really emotionally draining for me.,sadness,this month has been really emotionally draining for me.
Wedding day joy is definitely overwhelming me right now.,happiness,wedding day joy is definitely overwhelming me right now.
This day is already off to a bad start.,anger,this day is already off to a bad start.
Today's weather forecast is freaking me out slightly.,fear,today's weather forecast is freaking me out slightly.
Feeling rather anxious after this tough project deadline.,happiness,feeling rather anxious after this tough project deadline.
"I'm having a pretty meh day, that's all.",sadness,"i'm having a pretty meh day, that's all."
Today has been kind of a tough day for me,sadness,today has been kind of a tough day for me
I'm really surprised by how much I like it.,surprise,i'm really surprised by how much i like it.
My package arrived a whole week earlier than expected.,surprise,my package arrived a whole week earlier than expected.
My new job is rather fulfilling so far today.,happiness,my new job is rather fulfilling so far today.
"I'm having a major panic attack, this is not okay",fear,"i'm having a major panic attack, this is not okay"
Today was great thanks to their sweet message.,love,today was great thanks to their sweet message.
I'm actually really impressed with this restaurant.,surprise,i'm actually really impressed with this restaurant.
My favorite coffee shop just reopened suddenly.,surprise,my favorite coffee shop just reopened suddenly.
